  ______ _      ____   _____ _____
 |  ____| |    / __ \ / ____|_   _|
 | |__  | |   | |  | | |      | |  
 |  __| | |   | |  | | |      | |  
 | |    | |___| |__| | |____ _| |_ 
 |_|    |______\____/ \_____|_____|


          Powered by Quarkus 3.32.3
2026-04-08 01:03:41,714 INFO  [io.github.hectorvent.floci.lifecycle.EmulatorLifecycle] (main) === AWS Local Emulator Starting ===
2026-04-08 01:03:41,718 INFO  [io.github.hectorvent.floci.lifecycle.EmulatorLifecycle] (main) Storage mode: memory
2026-04-08 01:03:41,719 INFO  [io.github.hectorvent.floci.lifecycle.EmulatorLifecycle] (main) Persistent path: ./data
2026-04-08 01:03:41,719 INFO  [io.github.hectorvent.floci.core.common.ServiceRegistry] (main) Enabled services: [ssm, sqs, s3, dynamodb, sns, lambda, apigateway, iam, elasticache, rds, events, scheduler, logs, monitoring, secretsmanager, apigatewayv2, kinesis, kms, cognito-idp, states, cloudformation, acm, email, es]
2026-04-08 01:03:41,719 INFO  [io.github.hectorvent.floci.lifecycle.EmulatorLifecycle] (main) === AWS Local Emulator Ready ===
2026-04-08 01:03:41,998 INFO  [io.github.hectorvent.floci.core.common.BouncyCastleInitializer] (main) Registered BouncyCastle security provider (static initializer)
2026-04-08 01:03:42,073 INFO  [io.quarkus] (main) floci 1.0.11 on JVM (powered by Quarkus 3.32.3) started in 0.889s. Listening on: http://0.0.0.0:4566
2026-04-08 01:03:42,073 INFO  [io.quarkus] (main) Profile prod activated. 
2026-04-08 01:03:42,073 INFO  [io.quarkus] (main) Installed features: [cdi, config-yaml, rest, rest-jackson, smallrye-context-propagation, vertx]
2026-04-08 01:03:44,299 INFO  [io.github.hectorvent.floci.core.storage.StorageFactory] (executor-thread-1) Creating memory storage for service s3 (file: ./data/s3-buckets.json)
2026-04-08 01:03:44,300 INFO  [io.github.hectorvent.floci.core.storage.StorageFactory] (executor-thread-1) Creating memory storage for service s3 (file: ./data/s3-objects.json)
2026-04-08 01:05:39,506 INFO  [io.github.hectorvent.floci.core.common.AwsJson11Controller] (executor-thread-1) AwsJson11Controller Cognito action: CreateUserPool
2026-04-08 01:05:39,535 INFO  [io.github.hectorvent.floci.core.storage.StorageFactory] (executor-thread-1) Creating memory storage for service cognito (file: ./data/cognito-pools.json)
2026-04-08 01:05:39,536 INFO  [io.github.hectorvent.floci.core.storage.StorageFactory] (executor-thread-1) Creating memory storage for service cognito (file: ./data/cognito-clients.json)
2026-04-08 01:05:39,536 INFO  [io.github.hectorvent.floci.core.storage.StorageFactory] (executor-thread-1) Creating memory storage for service cognito (file: ./data/cognito-resource-servers.json)
2026-04-08 01:05:39,536 INFO  [io.github.hectorvent.floci.core.storage.StorageFactory] (executor-thread-1) Creating memory storage for service cognito (file: ./data/cognito-users.json)
2026-04-08 01:05:39,536 INFO  [io.github.hectorvent.floci.core.storage.StorageFactory] (executor-thread-1) Creating memory storage for service cognito (file: ./data/cognito-groups.json)
2026-04-08 01:05:39,691 INFO  [io.github.hectorvent.floci.services.cognito.CognitoService] (executor-thread-1) Created User Pool: us-east-1_6d7144642
